time: 2026-05-09 13:46:44,086 | name: DATABASE | level: INFO | message: Supabase client initialized
time: 2026-05-09 13:46:44,326 | name: INGEST_PIPELINE | level: INFO | message: Creating ingest job for URL: https://quotes.toscrape.com
time: 2026-05-09 13:46:45,471 | name: INGEST_PIPELINE | level: INFO | message: Ingest job created with ID: ea1d03cf-df16-42fc-aa8a-70034290fb3e
time: 2026-05-09 13:46:45,471 | name: INGEST_PIPELINE | level: INFO | message: Starting ingest pipeline for URL: https://quotes.toscrape.com
time: 2026-05-09 13:46:45,471 | name: CRAWLER | level: INFO | message: Starting crawl: https://quotes.toscrape.com
time: 2026-05-09 13:46:45,471 | name: CRAWLER | level: INFO | message: Planning crawl strategy for: https://quotes.toscrape.com
time: 2026-05-09 13:46:45,472 | name: CRAWLER | level: INFO | message: Discovering pages for: https://quotes.toscrape.com
time: 2026-05-09 13:46:52,090 | name: CRAWLER | level: INFO | message: Found 58 active pages for https://quotes.toscrape.com
time: 2026-05-09 13:46:53,212 | name: CRAWLER | level: DEBUG | message: Crawl plan: type=blog depth=2 pages=30 threshold=0.50
time: 2026-05-09 13:46:53,220 | name: CRAWLER | level: DEBUG | message: Crawler config ready: type=blog depth=2 pages=30
time: 2026-05-09 13:46:56,025 | name: INGEST_PIPELINE | level: INFO | message: Duplicate page detected, skipping DB insert: https://quotes.toscrape.com
time: 2026-05-09 13:46:56,026 | name: INGEST_PIPELINE | level: INFO | message: Page already exists in DB, skipping chunking: https://quotes.toscrape.com
time: 2026-05-09 13:46:56,026 | name: CRAWLER | level: INFO | message: Progress: 1 success, 0 failed, 0 skipped
time: 2026-05-09 13:46:56,029 | name: CRAWLER | level: DEBUG | message: Checkpoint saved: .checkpoints/toscrape.json
time: 2026-05-09 13:46:58,358 | name: INGEST_PIPELINE | level: INFO | message: Duplicate page detected, skipping DB insert: https://quotes.toscrape.com/tag/deep-thoughts/page/1/
time: 2026-05-09 13:46:58,358 | name: INGEST_PIPELINE | level: INFO | message: Page already exists in DB, skipping chunking: https://quotes.toscrape.com/tag/deep-thoughts/page/1/
time: 2026-05-09 13:46:58,359 | name: CRAWLER | level: INFO | message: Progress: 2 success, 0 failed, 0 skipped
time: 2026-05-09 13:46:58,359 | name: CRAWLER | level: DEBUG | message: Checkpoint saved: .checkpoints/toscrape.json
time: 2026-05-09 13:46:58,507 | name: INGEST_PIPELINE | level: INFO | message: Page saved to DB: https://quotes.toscrape.com/author/Jane-Austen
time: 2026-05-09 13:46:58,507 | name: CRAWLER | level: INFO | message: Progress: 3 success, 0 failed, 0 skipped
time: 2026-05-09 13:46:58,507 | name: CRAWLER | level: DEBUG | message: Checkpoint saved: .checkpoints/toscrape.json
time: 2026-05-09 13:46:58,556 | name: INGEST_PIPELINE | level: INFO | message: Duplicate page detected, skipping DB insert: https://quotes.toscrape.com/tag/adulthood/page/1/
time: 2026-05-09 13:46:58,556 | name: INGEST_PIPELINE | level: INFO | message: Page already exists in DB, skipping chunking: https://quotes.toscrape.com/tag/adulthood/page/1/
time: 2026-05-09 13:46:58,556 | name: CRAWLER | level: INFO | message: Progress: 4 success, 0 failed, 0 skipped
time: 2026-05-09 13:46:58,556 | name: CRAWLER | level: DEBUG | message: Checkpoint saved: .checkpoints/toscrape.json
time: 2026-05-09 13:46:58,677 | name: INGEST_PIPELINE | level: INFO | message: Page saved to DB: https://quotes.toscrape.com/author/Thomas-A-Edison
time: 2026-05-09 13:46:58,678 | name: CRAWLER | level: INFO | message: Progress: 5 success, 0 failed, 0 skipped
time: 2026-05-09 13:46:58,679 | name: CRAWLER | level: DEBUG | message: Checkpoint saved: .checkpoints/toscrape.json
time: 2026-05-09 13:46:58,785 | name: INGEST_PIPELINE | level: INFO | message: Page saved to DB: https://quotes.toscrape.com/author/Andre-Gide
time: 2026-05-09 13:46:58,785 | name: CRAWLER | level: INFO | message: Progress: 6 success, 0 failed, 0 skipped
time: 2026-05-09 13:46:58,786 | name: CRAWLER | level: DEBUG | message: Checkpoint saved: .checkpoints/toscrape.json
time: 2026-05-09 13:46:58,921 | name: INGEST_PIPELINE | level: INFO | message: Page saved to DB: https://quotes.toscrape.com/author/Marilyn-Monroe
time: 2026-05-09 13:46:58,921 | name: CRAWLER | level: INFO | message: Progress: 7 success, 0 failed, 0 skipped
time: 2026-05-09 13:46:58,922 | name: CRAWLER | level: DEBUG | message: Checkpoint saved: .checkpoints/toscrape.json
time: 2026-05-09 13:46:58,987 | name: INGEST_PIPELINE | level: INFO | message: Duplicate page detected, skipping DB insert: https://quotes.toscrape.com/
time: 2026-05-09 13:46:58,987 | name: INGEST_PIPELINE | level: INFO | message: Page already exists in DB, skipping chunking: https://quotes.toscrape.com/
time: 2026-05-09 13:46:58,987 | name: CRAWLER | level: INFO | message: Progress: 8 success, 0 failed, 0 skipped
time: 2026-05-09 13:46:58,988 | name: CRAWLER | level: DEBUG | message: Checkpoint saved: .checkpoints/toscrape.json
time: 2026-05-09 13:46:59,049 | name: INGEST_PIPELINE | level: INFO | message: Duplicate page detected, skipping DB insert: https://quotes.toscrape.com/login
time: 2026-05-09 13:46:59,049 | name: INGEST_PIPELINE | level: INFO | message: Page already exists in DB, skipping chunking: https://quotes.toscrape.com/login
time: 2026-05-09 13:46:59,049 | name: CRAWLER | level: INFO | message: Progress: 9 success, 0 failed, 0 skipped
time: 2026-05-09 13:46:59,049 | name: CRAWLER | level: DEBUG | message: Checkpoint saved: .checkpoints/toscrape.json
time: 2026-05-09 13:46:59,116 | name: INGEST_PIPELINE | level: INFO | message: Duplicate page detected, skipping DB insert: https://quotes.toscrape.com/tag/choices/page/1/
time: 2026-05-09 13:46:59,116 | name: INGEST_PIPELINE | level: INFO | message: Page already exists in DB, skipping chunking: https://quotes.toscrape.com/tag/choices/page/1/
time: 2026-05-09 13:46:59,116 | name: CRAWLER | level: INFO | message: Progress: 10 success, 0 failed, 0 skipped
time: 2026-05-09 13:46:59,116 | name: CRAWLER | level: DEBUG | message: Checkpoint saved: .checkpoints/toscrape.json
time: 2026-05-09 13:46:59,184 | name: INGEST_PIPELINE | level: INFO | message: Duplicate page detected, skipping DB insert: https://quotes.toscrape.com/tag/edison/page/1/
time: 2026-05-09 13:46:59,184 | name: INGEST_PIPELINE | level: INFO | message: Page already exists in DB, skipping chunking: https://quotes.toscrape.com/tag/edison/page/1/
time: 2026-05-09 13:46:59,184 | name: CRAWLER | level: INFO | message: Progress: 11 success, 0 failed, 0 skipped
time: 2026-05-09 13:46:59,184 | name: CRAWLER | level: DEBUG | message: Checkpoint saved: .checkpoints/toscrape.json
time: 2026-05-09 13:46:59,244 | name: INGEST_PIPELINE | level: INFO | message: Duplicate page detected, skipping DB insert: https://quotes.toscrape.com/tag/abilities/page/1/
time: 2026-05-09 13:46:59,244 | name: INGEST_PIPELINE | level: INFO | message: Page already exists in DB, skipping chunking: https://quotes.toscrape.com/tag/abilities/page/1/
time: 2026-05-09 13:46:59,244 | name: CRAWLER | level: INFO | message: Progress: 12 success, 0 failed, 0 skipped
time: 2026-05-09 13:46:59,245 | name: CRAWLER | level: DEBUG | message: Checkpoint saved: .checkpoints/toscrape.json
time: 2026-05-09 13:46:59,344 | name: INGEST_PIPELINE | level: INFO | message: Duplicate page detected, skipping DB insert: https://quotes.toscrape.com/tag/be-yourself/page/1/
time: 2026-05-09 13:46:59,344 | name: INGEST_PIPELINE | level: INFO | message: Page already exists in DB, skipping chunking: https://quotes.toscrape.com/tag/be-yourself/page/1/
time: 2026-05-09 13:46:59,344 | name: CRAWLER | level: INFO | message: Progress: 13 success, 0 failed, 0 skipped
time: 2026-05-09 13:46:59,344 | name: CRAWLER | level: DEBUG | message: Checkpoint saved: .checkpoints/toscrape.json
time: 2026-05-09 13:46:59,401 | name: INGEST_PIPELINE | level: INFO | message: Duplicate page detected, skipping DB insert: https://quotes.toscrape.com/tag/classic/page/1/
time: 2026-05-09 13:46:59,401 | name: INGEST_PIPELINE | level: INFO | message: Page already exists in DB, skipping chunking: https://quotes.toscrape.com/tag/classic/page/1/
time: 2026-05-09 13:46:59,401 | name: CRAWLER | level: INFO | message: Progress: 14 success, 0 failed, 0 skipped
time: 2026-05-09 13:46:59,401 | name: CRAWLER | level: DEBUG | message: Checkpoint saved: .checkpoints/toscrape.json
time: 2026-05-09 13:46:59,510 | name: INGEST_PIPELINE | level: INFO | message: Page saved to DB: https://quotes.toscrape.com/author/Albert-Einstein
time: 2026-05-09 13:46:59,510 | name: CRAWLER | level: INFO | message: Progress: 15 success, 0 failed, 0 skipped
time: 2026-05-09 13:46:59,510 | name: CRAWLER | level: DEBUG | message: Checkpoint saved: .checkpoints/toscrape.json
time: 2026-05-09 13:46:59,566 | name: INGEST_PIPELINE | level: INFO | message: Duplicate page detected, skipping DB insert: https://quotes.toscrape.com/tag/change/page/1/
time: 2026-05-09 13:46:59,566 | name: INGEST_PIPELINE | level: INFO | message: Page already exists in DB, skipping chunking: https://quotes.toscrape.com/tag/change/page/1/
time: 2026-05-09 13:46:59,566 | name: CRAWLER | level: INFO | message: Progress: 16 success, 0 failed, 0 skipped
time: 2026-05-09 13:46:59,567 | name: CRAWLER | level: DEBUG | message: Checkpoint saved: .checkpoints/toscrape.json
time: 2026-05-09 13:46:59,623 | name: INGEST_PIPELINE | level: INFO | message: Duplicate page detected, skipping DB insert: https://quotes.toscrape.com/tag/aliteracy/page/1/
time: 2026-05-09 13:46:59,623 | name: INGEST_PIPELINE | level: INFO | message: Page already exists in DB, skipping chunking: https://quotes.toscrape.com/tag/aliteracy/page/1/
time: 2026-05-09 13:46:59,623 | name: CRAWLER | level: INFO | message: Progress: 17 success, 0 failed, 0 skipped
time: 2026-05-09 13:46:59,623 | name: CRAWLER | level: DEBUG | message: Checkpoint saved: .checkpoints/toscrape.json
time: 2026-05-09 13:46:59,837 | name: INGEST_PIPELINE | level: INFO | message: Page saved to DB: https://quotes.toscrape.com/author/J-K-Rowling
time: 2026-05-09 13:46:59,837 | name: CRAWLER | level: INFO | message: Progress: 18 success, 0 failed, 0 skipped
time: 2026-05-09 13:46:59,838 | name: CRAWLER | level: DEBUG | message: Checkpoint saved: .checkpoints/toscrape.json
time: 2026-05-09 13:47:00,072 | name: INGEST_PIPELINE | level: INFO | message: Page saved to DB: https://quotes.toscrape.com/tag/inspirational/page/1/
time: 2026-05-09 13:47:00,072 | name: CRAWLER | level: INFO | message: Progress: 19 success, 0 failed, 0 skipped
time: 2026-05-09 13:47:00,074 | name: CRAWLER | level: DEBUG | message: Checkpoint saved: .checkpoints/toscrape.json
time: 2026-05-09 13:47:00,159 | name: INGEST_PIPELINE | level: INFO | message: Duplicate page detected, skipping DB insert: https://quotes.toscrape.com/tag/humor/page/1/
time: 2026-05-09 13:47:00,159 | name: INGEST_PIPELINE | level: INFO | message: Page already exists in DB, skipping chunking: https://quotes.toscrape.com/tag/humor/page/1/
time: 2026-05-09 13:47:00,159 | name: CRAWLER | level: INFO | message: Progress: 20 success, 0 failed, 0 skipped
time: 2026-05-09 13:47:00,161 | name: CRAWLER | level: DEBUG | message: Checkpoint saved: .checkpoints/toscrape.json
time: 2026-05-09 13:47:00,243 | name: INGEST_PIPELINE | level: INFO | message: Duplicate page detected, skipping DB insert: https://quotes.toscrape.com/tag/books/page/1/
